Date,2881.TW,Spread,Signal,2606.TW,2881.TW's trade,2606.TW's trade,2881.TW's position,2606.TW's position,Cash,Position MTM,Portfolio Value,returns,cum returns
2017-07-11,27.424108505249023,0.3310154238396952,,22.06920051574707,0.0,0.0,-3441026.0,3441026.0,41209821.76307678,-18426377.619483948,22783444.143592834,0.004556044026253536,3.55668882871856
2017-07-12,27.659006118774414,0.32119661351139017,,22.493606567382812,0.0,0.0,-3441026.0,3441026.0,41209821.76307678,-17774274.156726837,23435547.606349945,0.028621812340892117,3.6871095212699823
2017-07-13,27.923259735107422,0.3307052437656752,,22.493606567382812,0.0,0.0,-3441026.0,3441026.0,41209821.76307678,-18683577.72112274,22526244.04195404,-0.03880018421884568,3.5052488083908013
2017-07-14,27.747093200683594,0.3213518977793073,,22.56434440612793,0.0,0.0,-3441026.0,3441026.0,41209821.76307678,-17833973.3535347,23375848.409542084,0.037716201866840215,3.67516968190841
2017-07-17,27.981985092163086,0.32076555122619643,,22.776546478271484,0.0,0.0,-3441026.0,3441026.0,41209821.76307678,-17912049.611804962,23297772.15127182,-0.003340039552891416,3.6595544302543574
2017-07-18,27.981985092163086,0.3404085902990137,,22.316770553588867,0.0,0.0,-3441026.0,3441026.0,41209821.76307678,-19494150.52281189,21715671.240264893,-0.06790781971488036,3.343134248052973
2017-07-19,27.893901824951172,0.32662890495285035,,22.56434440612793,0.0,0.0,-3441026.0,3441026.0,41209821.76307678,-18339145.646663666,22870676.116413116,0.05318762028440682,3.5741352232826173
2017-07-20,27.893901824951172,0.3236141263972123,,22.63507843017578,0.0,0.0,-3441026.0,3441026.0,41209821.76307678,-18095748.030830383,23114073.7322464,0.010642344572341145,3.622814746449274
2017-07-21,27.68836784362793,0.31923320415191103,,22.56434440612793,0.0,0.0,-3441026.0,3441026.0,41209821.76307678,-17631897.873046875,23577923.890029907,0.020067867012831808,3.715584778005976
2017-07-24,27.54155731201172,0.3169412589753602,,22.493606567382812,0.0,0.0,-3441026.0,3441026.0,41209821.76307678,-17370129.758987427,23839692.004089355,0.011102254603940764,3.767938400817866
